gameId,gameDuration,team,champion,wins,kills,deaths,assists,longestTimeSpentLiving,largestKillingSpree,largestMultiKill,killingSprees,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,damageDealtToTurrets,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,totalMinionsKilled,turretKills,inhibitorKills
4573761843,1379,blue,Maokai,True,4,9,21,280,2,2,1,1,0,0,0,0,54694,50400,3330,963,0,28083,25719,1494,869,16954,152,121,50626,21751,24781,4093,12730,11450,35,0,0
4573685129,1279,red,Soraka,False,5,12,21,249,2,2,2,1,0,0,0,0,11459,8951,1588,919,0,5582,4048,613,919,19435,0,39,25500,17442,7283,774,11581,11300,3,0,0
4573626633,1871,red,Warwick,False,16,19,34,189,4,3,3,1,1,0,0,0,95024,37718,54807,2498,0,43446,24080,17067,2298,26752,1759,61,101537,32118,67968,1450,18078,16400,37,1,0
4573641596,1166,blue,KogMaw,True,4,12,25,163,0,1,0,0,0,0,0,0,42081,16210,18947,6923,373,20239,9715,7358,3165,3133,1255,10,21041,10273,8799,1969,11065,9600,18,1,1
4571247555,1227,blue,Varus,True,9,9,26,394,3,1,2,0,0,0,0,0,63490,6976,51074,5439,675,30322,4822,24850,649,3564,747,27,19063,6811,11202,1049,12462,11275,42,1,0
4571212325,1336,blue,Malphite,False,6,15,24,172,2,2,1,1,0,0,0,0,51509,39135,10527,1847,0,22477,15913,4787,1777,551,713,52,32321,17568,11349,3402,12682,12550,30,0,1
4571107810,1122,blue,Maokai,False,4,10,24,171,0,1,0,0,0,0,0,0,62429,57410,4066,952,0,22697,20607,1137,952,9196,222,70,32064,12417,18604,1042,10891,9900,33,0,0
4571093777,995,red,Diana,False,7,16,12,126,2,1,1,0,0,0,0,0,39315,34705,3713,895,0,19844,16574,2584,685,4257,0,8,36487,15531,18489,2465,10277,9550,15,0,0
4571036338,987,blue,Rengar,True,9,14,11,79,2,2,1,1,0,0,0,0,30427,5160,22046,3220,0,16192,2178,13280,733,4149,2496,6,23863,10750,12772,340,10679,8900,13,2,0
4570929894,1701,red,Graves,False,11,14,31,258,2,2,3,1,0,0,0,0,102195,4967,94949,2279,514,34572,2745,29598,2229,14080,325,35,51815,31357,13619,6839,17612,16925,75,0,1
4570944170,1167,red,Karma,False,2,11,14,169,0,1,0,0,0,0,0,0,18968,16315,1977,675,0,8859,7398,786,675,1864,0,23,29480,13969,14551,959,9307,8450,5,0,0
4570798877,1406,red,Darius,False,13,13,15,136,5,3,3,2,1,0,0,0,83488,0,74363,9124,0,41645,0,32520,9124,30094,0,39,66718,25722,25466,15528,14043,13200,55,0,0
4570794730,932,blue,Skarner,False,6,13,15,118,2,1,1,0,0,0,0,0,16408,4409,11249,750,28,8026,1700,5666,660,3170,156,25,30253,8585,20564,1103,9345,8950,10,0,0
4528334133,1616,red,Nautilus,False,7,13,32,161,2,1,1,0,0,0,0,0,41033,27521,12142,1369,0,19046,12649,5127,1269,7531,623,100,50015,28802,18863,2349,14435,13450,23,0,2
4522282346,1191,blue,Varus,False,15,8,11,179,7,3,4,3,1,0,0,0,62217,3412,58804,0,0,23249,1674,21574,0,2272,1180,16,14551,4622,9601,327,13489,11400,53,1,0
4522169506,1416,blue,Jhin,True,13,11,28,271,5,2,2,1,0,0,0,0,91859,5534,85890,433,840,38259,2280,35544,433,9128,354,27,28573,15403,11472,1697,14807,12250,47,1,1
4522126110,1474,blue,Veigar,False,10,13,35,182,2,1,2,0,0,0,0,0,108666,104292,4374,0,0,28348,27079,1269,0,2614,1279,49,45494,21410,15642,8441,15494,14300,107,0,0
4522163458,741,red,Lucian,False,4,11,11,125,0,2,0,1,0,0,0,0,28397,2169,25785,443,337,10351,1076,8904,370,477,191,0,15194,13699,1283,211,7545,7150,26,0,0
4521995275,899,red,Talon,False,10,12,15,117,3,3,2,1,1,0,0,0,35928,136,34842,949,432,20674,32,19693,949,1493,0,3,21386,5512,15404,469,9906,9800,23,0,0
4521900233,1192,blue,Sivir,True,6,7,25,313,2,2,1,1,0,0,0,0,95395,0,94830,565,601,26323,0,25757,565,5494,1648,0,21324,8679,12331,313,13266,11900,77,1,0
4518554124,867,red,Nunu,False,2,9,14,193,0,1,0,0,0,0,0,0,26110,14563,1978,9568,0,7034,5927,974,133,7786,0,20,29011,12211,15341,1458,7736,6900,16,0,0
4517719246,1542,red,Malphite,False,2,6,5,130,0,1,0,0,0,0,0,0,14356,8716,5200,440,0,5220,3896,883,440,891,0,9,9949,2517,6964,466,11184,3850,15,0,0
4516692476,1097,blue,Kaisa,True,8,6,21,357,3,1,1,0,0,0,0,0,55780,33122,22216,441,0,26809,20854,5514,441,3249,2470,0,14372,5742,7519,1110,11651,9950,44,1,0
4516643776,1341,red,Fiddlesticks,False,4,16,26,132,0,1,0,0,0,0,0,0,45659,43752,691,1215,0,17167,16004,162,1000,3708,0,54,32459,21531,8759,2168,11426,10400,30,0,0
4516478240,1001,blue,Jax,False,6,15,16,78,2,1,1,0,0,0,0,0,33420,5835,26824,760,0,12453,1805,10057,590,2940,680,27,31561,19989,11138,432,9487,9203,21,0,0
4516501536,1242,red,Nasus,False,5,11,11,170,2,1,1,0,0,0,0,0,50207,36083,13163,959,0,17685,13476,3449,760,2044,0,12,39685,15231,22085,2368,11240,10853,35,0,0
4516442585,1234,blue,Tryndamere,False,8,15,20,162,3,3,2,1,1,0,0,0,66062,12491,52163,1407,554,24368,3153,20016,1198,7798,1173,13,38638,20157,17599,880,12710,12250,39,0,0
4515395430,1195,blue,Warwick,True,10,12,16,144,2,2,2,1,0,0,0,0,20859,14081,5355,1423,0,15184,10958,2802,1423,12068,681,31,46901,13800,31592,1508,11273,10650,13,1,0
4515452403,823,blue,Xayah,False,4,11,11,129,0,1,0,0,0,0,0,0,40631,1845,38785,0,309,12596,585,12011,0,2011,182,20,17200,9767,6787,645,8317,7850,38,0,0
